full_text,generated
정말 대박입니다. 중드라서 비교하긴 그래도..신삼국이후로 최고의 대작. 오히려 몰입력과 흡입력은 신삼국 이상인듯...,0
"정말 놀라운 작품이에요. 중국 드라마라서 비교하기는 어렵지만, 신삼국 이후로 가장 뛰어난 대하 드라마라고 생각합니다. 오히려 몰입감과 재미는 신삼국을 초월하는 것 같아요.",1
존나 재미없음. 나래이션 꾸역꾸역 끼워 넣고 감동없고 재미없는 휴먼드라마? 쾌감없는 반전 이렇게 거지같은 영화는 오랬만,0
"정말 재미가 없어요. 나레이터의 설명이 억지로 끼워져 있고 감동도 전혀 없으며 재미 없는 휴먼 드라마? 반전의 신선함도 없고, 이렇게 형편없는 영화는 정말 오랜만이네요.",1
해피앤딩이 아니어서 1점. 외계인 침공당했다는 선 스토리 설명만 나오고. 절대 외계인 안나옴.,0
"해피엔딩이 아니라서 1점을 줬습니다. 외계인의 침략에 대한 사전 설명만 있을 뿐, 실제로 외계인이 등장하지 않습니다.",1
일탈이란게 고작 이런 것 밖에 없는지?? 너무나 전형적이고 유치하다,0
일탈이라는 것이 이 정도밖에 안 되는 건가요?? 정말 너무 일반적이고 초등학생 같은 느낌이 듭니다.,1
괜히 평점 낮추려고 지디 싫어하시는 분들 별점 달지 마세요 괜히 자기 양심 깎아내리는 것 밖에 더 됩니까?,0
지디를 싫어하는 분들이 단지 평점을 낮추기 위해서 별점을 주지 않았으면 좋겠습니다. 그렇게 하면 결국 자기 자신에게 부끄러운 일만 되는 것입니다.,1
"일본오리지날판>미국판>한국판.. 정말 연출,연기 모두 최악이다..-_-;",0
"일본 버전이 가장 좋고, 다음은 미국 판, 마지막으로 한국 판이네요. 정말 연출과 연기가 형편없습니다..-_-;",1
흔한 패턴이라면 흔하지만 엄마와 함께 다시 한번 보고 싶은 영화였다,0
"비슷한 전개가 많아 흔할 수 있지만, 어머니와 함께 다시 보고 싶은 영화였다.",1
"느리고 답답, 어중간한 내용 진짜 내 생에 봐온 영화중 가장 최악",0
"느림보 같고 답답하기만 한 어색한 이야기, 내가 본 영화 중 최악의 작품이다.",1
이거 내용의 80프로가 거짓과 과장입니다. 예를 들어 하나면 얘기하자면 이소룡이 영춘권을 처음 배웠을 때는 14살이었습니다. 근데 저렇게 다 큰 어른으로 나오면 안되잖아요? 영춘권 나오기 전까지는 다 14살 이하였다는 건데 앞뒤 전개도 안맞고...,0
"이 영화의 내용 대다수는 허위와 과장이 섞여 있습니다. 한 가지 예를 들자면, 이소룡이 영춘권을 처음 배운 나이는 14세였습니다. 그런데 그렇게 성인으로 등장하면 말이 안 되죠? 영춘권 등장 이전에는 모두가 14세 이하였다는 사실과도 맞지 않는 전개가 눈에 띕니다...",1
이 영화를 본 사람이라면 나처럼 도둑들이 한국 흥행 순위 1위인것에 경악을 금치 못할 것이다.,0
"이 영화를 관람한 사람이라면, 나처럼 도둑들이 한국 박스오피스 1위라는 사실에 놀라움을 감출 수 없을 것이다.",1
나약하고 한심한 젊은이들을 한심하게 표현한 한심한 영화.,0
무능하고 우스꽝스러운 젊은 세대를 바보스럽게 그려낸 참으로 실망스러운 영화.,1
하 선아언니완전이쁨장우오빠건형오빠..하말이필요없다너므재밋다,0
하 선아 언니는 정말 아름다우시고 장우 오빠와 건형 오빠도 멋지세요.. 말이 필요 없을 만큼 너무 재밌어요!,1
뭔가를 얘기하고 싶었지만 아무것도 전달하지 못한 영화~!!,0
하고 싶은 말은 있었지만 결국 아무것도 전하지 못한 영화~!!,1
"거대한 혁명을 2시간짜리 영화에 담아내기엔 버거워보이는 각본,연출,편집",0
"거대한 혁명을 2시간의 영화로 풀어내기에는 무리인 듯한 각본, 연출, 그리고 편집.",1
사람은 태어나면 죽는다.. 영화를 찍은 배우들의 삶의 시간이 아까울정도다.,0
인간은 태어나는 동시에 죽음을 향해 나아간다. 이 영화를 위해 헌신한 배우들의 시간이 아까운 느낌이다.,1
김지영넘불상해서 보기싫어지는 드라마다 현지x년 연기정말 못한다 꼴보기싫타 생긴것도 다성형한것같아 미친xxx년같다 당정하차시켜라~~작가는 더미친xxx다 좀 잘쓰라,0
김지영은 정말 보기 힘든 드라마다. 현지의 연기가 너무나도 형편없어서 스트레스가 쌓인다. 외모도 마치 성형을 한 것처럼 보인다. 과연 그녀가 이 역할에 맞는지 의문이 든다. 작가 역시 더 나은 스토리를 만들어야 할 필요가 있다. 진짜 좀 제대로 해줬으면 좋겠다.,1
강시라는 엄청난 소재를 가지고 이렇게 밖에 못만들다니.. 어릴적 강시에 대한 기대감으로 봤는데 실망이 이만저만... 한정적인 공간과 본연의 강시의 공포를 끌어내지도 못하고 터무니 없는 액션으로 쓰레기 영화 인증해버림,0
"강시라는 매력적인 주제를 활용하면서도 이렇게 비참하게 완성되다니 안타깝습니다. 어릴 적 강시에 대한 기대를 가지고 관람했는데, 그 결과에 실망스러움을 느끼게 되었습니다. 제한된 장소에서 본래의 강시가 지닌 두려움을 잘 드러내지 못하고, 비현실적인 액션 씬으로 인해 그야말로 형편없는 영화로 전락했네요.",1
마녀 이후로 티비엔 호청자가 됐긔 그래서 로필123나인 전부 다봤긔,0
마녀 방영 이후로 티비엔의 팬이 되었어요. 그래서 로필123나인도 모두 시청했답니다.,1
영화관에서볼만한건아니였지만 재밌었음 후반에 실망감이 조금,0
영화관에서 관람할 만큼의 가치는 없었지만 꽤 재미있었다. 후반부에서는 조금 실망스러운 부분이 있었다.,1
뭐 이런 화딱지나는 영화가다있냐? 시간아깝다 미친영화 불륜의 정당화 ?연기하는 배우들이 꼴보기 싫을정도네 도저히 내 상식선에서 납득이안간다,0
이런 화가 나는 영화가 존재하다니? 시간 낭비가 정말 심한 작품입니다. 불륜을 정당화하는 내용이 도저히 이해가 가지 않네요. 연기를 하는 배우들마저 보기 싫을 정도입니다. 내 상식으로는 받아들일 수 없는 이야기입니다.,1
쌍둥이에게 된통 당한 경험이 있는 감독이 만든 쌍둥이 모독영화,0
쌍둥이를 키운 경험이 있는 감독이 만든 쌍둥이 비판 영화,1
ㅠㅠ 짱이지요 더킹 ㅜㅜ 진짜 감동이 뭔지 알려주네요ㅜㅜ 계속 재방 볼 때 마다 소름에 감동에ㅜㅜ,0
"너무 대단해요, 더킹 ㅠㅠ 진정한 감동이 어떤 건지 경험하게 해줘요ㅜㅜ 재방송을 볼 때마다 소름이 돋고 감동받아요ㅜㅜ",1
여러가지 동화를 믹스해놓은 퓨전판타지..ㅋㅋ 끝에는 스토리 막장이지만 은근 신선하고 재밌음. 라푼젤까지 막장에 엮었어야 하는데 아쉽네..ㅎㅎ,0
"여러 동화를 혼합한 재미있는 퓨전 판타지네요..ㅋㅋ 결말은 다소 엉성하지만 독특하고 흥미롭게 느껴졌습니다. 라푼젤도 이 막장에 포함되었으면 좋았을 텐데, 조금 아쉬워요..ㅎㅎ",1
하은설 때문에 10점 준다.... '닥터' 에서 생각나는건 당신 밖에 없어...좀 잘됬으면 좋겠는데... 골르는 영화마다 왜이럼...ㅠ,0
하은설 덕분에 10점을 주게 됐다... '닥터'를 떠올리면 당신이 제일 먼저 생각나... 이번엔 좀 잘 되었으면 좋겠는데... 왜 매번 이런 선택을 할까...ㅠ,1
대우차 무시하는거야??? 이런 싸구려차를 타고 다니냐고? ㅡㅡ;;,0
대우차를 조금도 가볍게 보시는 건가요??? 이런 저렴한 차를 타고 다니는 건가요? ㅡㅡ;;,1
재미없음. 미국식유머고 나발이고 별로 안웃김. 여긴 알바천국인가? 사실 1점짜리까진아닌데 영화에 비해 평점이 너무 높아 평균낮추려고 1점줍니다.,0
"별로 재미없었습니다. 미국식 유머라는 것도 별로 웃기지 않았고, 괜히 그런 소리를 하네요. 이곳이 알바의 천국인가요? 사실 영화가 1점짜리는 아니지만, 평가가 지나치게 높아서 평균을 낮추기 위해 1점을 줍니다.",1
아프리카 좀비와 버디 로드무비의 참신한 결합. 걷는 좀비의 긴장감 약하고 구성 빈약,0
아프리카의 좀비 요소와 버디 로드무비가 독특하게 결합된 작품입니다. 그러나 걷는 좀비들의 긴장감이 부족하고 이야기 구성도 다소 느슨합니다.,1
아 이 영화 이름이 아파트였구나 ㅋㅋㅋㅋ 존나 재미없드만 무섭지도 않고,0
"이 영화 제목이 아파트였던 거라니, 하하하. 정말 재미가 없었고, 공포감도 전혀 느껴지지 않았어.",1
극장에서 애인과 둘이 봤는데 요즘 억지 코메디 보다 훨씬 재밌음..,0
"최근에 애인과 함께 극장에서 관람했는데, 요즘의 억지스러운 코미디들보다 훨씬 즐거웠어요.",1
"EBS 고맙습니다. 이런 명작을 성인이 되서 다시 보게 되니, 정말 감회가 새롭네요. 저도 모르게 눈물이.. 데미무어 눈물이 마치, 다이아몬드 처럼 밝고, 빛이 나네요",0
"EBS에 감사드립니다. 이렇게 훌륭한 작품을 성인이 되어 다시 보게 되니, 정말 새로운 감정을 느끼게 됩니다. 제가 모르게 눈물이 흐르고… 데미 무어의 눈물은 마치 다이아몬드처럼 맑고 빛나네요.",1
사실은 중간부터 본영화지만 다시한번 똑바로 보고싶은 영화이다,0
"사실 중간에부터 영화를 봤지만, 다시 한번 제대로 감상해보고 싶은 작품이다.",1
차라리 잔잔한 목소리로 더빙을 했으면 다큐라도 보는 느낌으로 봤을텐데이건 뭐 뽀로로 하듯이 해버리니... 애들은 무섭다고 울고있고 집중도 안 되고이 정도면 제작사에서 와서 쌍욕을 퍼 부어도 모자랄 정도로 더빙을 해 놨네요,0
"오히려 조용한 목소리로 더빙을 했다면 다큐멘터리를 보는 듯한 느낌을 줄 수 있었을 것 같은데, 이렇게 뽀로로처럼 처리해버리니... 아이들이 무서워서 울고 있고, 집중도 제대로 되지 않네요. 이 정도면 제작사 측에서 욕을 먹어도 할 말이 없을 정도로 더빙이 엉망입니다.",1
"민족을 위해 희생한 8인의 장엄한 죽음앞에 가슴먹먹,의로운 충성심에 눈물감동입니다",0
"민족을 위해 헌신한 8명의 위대한 희생 앞에서 가슴이 시려오고, 그들의 고귀한 충성심에 감동의 눈물이 흐릅니다.",1
시저는 유전자를...거시기 해서..똑똑해졌다고..치고..10년만에..나머지 유인원들이 저렇게..똑똑해지다니..와..썅..내가 10년 공부한거보다..더 잘하네..ㅎㅎㅎ 좀 개연성을 가진 스토리를 만들길..,0
"시저가 유전자를 조작해서 똑똑해졌다고 하는데, 10년이 지나고 나머지 유인원들도 그렇게 스마트해지다니 놀라워. 내가 10년 동안 공부한 것보다 더 나은 것 같아.ㅎㅎㅎ 좀 더 설득력 있는 이야기를 만들어 줬으면 좋겠어.",1
중국 의 1940년대의 모습이 흥미로웠고 탕웨이의 매력 이 물씬한,0
"1940년대 중국의 모습이 매우 흥미롭게 다가왔고, 탕웨이의 매력은 가득 느껴졌다.",1
당시로서는 독특한 소재로 이목을 끌기는 했으나 내용은 글쎄...,0
"그 당시에는 참신한 주제로 주목을 받았지만, 내용은 솔직히 아쉬웠습니다...",1
1점 주는 사람들 자기만 보려고 낚는 겁니다. 꼭 보세요.,0
1점 주는 사람들은 자신의 의견만을 강조하기 위해 이렇게 조작하는 것입니다. 반드시 한번 보세요.,1
야하지도 잼있지도 신선하지도 않은 과거 애기 했다가 현대로 넘어왔다가 정신없다 18,0
"어떻게 보면 야하거나 흥미롭지도 않고, 신선한 요소도 없는 이야기가 과거와 현재를 오가며 진행되는데, 꽤 복잡하게 느껴진다. 18세 이상 관람가.",1
복잡하고 이해안되지만 여전히 흥미만점인 린치가 만든 미로로의 초대!,0
복잡하고 알기 어렵지만 여전히 매력 넘치는 데이비드 린치의 미로 속으로 초대합니다!,1
기존 한국 영화에서 느끼지 못한 색다른 느낌상업적이기 보다는 새로움에 도전한듯한 ..,0
기존 한국 영화들이 주지 못했던 색다른 경험이다. 상업성을 강조하기보다는 신선함에 도전하는 모습이 인상적이다.,1
역대 전쟁 영화 베스트 5에 꼽힌다. 실화를 이렇게 감동적이고 재미있게 만든 프랑스 영화 수준을 재평가하게 되었다.,0
역대 최고의 전쟁 영화 중 하나로 손꼽힐 만하다. 실화를 이렇게 감동적이고 재미있게 풀어낸 프랑스 영화의 수준을 다시 한번 높이 평가하게 되었다.,1
만화인 원작을 영화로 상당히 잘 표현하였다.켄신의 외모와 연기가 좋았다.박진감 있는 전투씬이 괜찮았다.,0
만화를 기반으로 한 이 영화는 매우 훌륭하게 그 원작을 재현하였다. 켄신의 모습과 연기가 인상적이었다. 긴장감 넘치는 전투 장면이 특히 좋았다.,1
여운이 남는 영화였습니다.아름답운 영상과 젊어서 미칠수밖에 없었던 사랑에 박수를 보냅니다,0
오랫동안 여운이 남는 영화였습니다. 환상적인 시각적 요소와 젊은 시절의 열렬한 사랑에 찬사를 보냅니다.,1
어느덧 추억의 영화가 된 몽키 트러블. 꼬맹이 도라버치 귀여웠지,0
시간이 지나면서 추억의 한 페이지가 된 몽키 트러블. 어린 도라버치가 정말 사랑스러웠어요.,1
"최고의 배우, 최고의 해병대 정준용 선생님께서 출연하신 영화였다......",0
정준용 선생님이라는 최고의 배우가 출연한 영화였다......,1
세상은 더이상 그들 편에서 바주지 않고 스스로 자기 자신들이 몸소 깨달아간다는 영화.. 많이 공감가네요,0
"이 영화는 세상이 더 이상 그들의 뒤편에서 그들을 지지하지 않고, 그들이 스스로 깨달음을 얻어간다는 내용을 담고 있습니다. 정말 많은 점에서 공감이 가네요.",1
"집에서 봤는데 너무 심하군요..스토리 전개가 진짜 재미없어요..애들은 좋아해요..왜냐..런닝맨..광고를 해대니까요..그러나 어른들은 보면 짜증납니다. 저학년 이하 어린이들이 볼만한 영화구요.. 드림웍스, 픽사 애니 기대하셨다면 후회합니다.",0
"집에서 보면서 정말 실망스러웠습니다. 이야기 전개가 굉장히 재미없더군요. 아이들은 좋아하지만, 그 이유는 런닝맨에서 광고를 많이 하니까입니다. 반면에 성인들이 보기에는 짜증이 날 수 있습니다. 이 영화는 저학년 이하 어린이들에 잘 맞는 것 같습니다. 드림웍스나 픽사의 애니메이션을 기대했다면 실망하게 될 것입니다.",1
악쓰고 폭력적이고... 내용전개 짜증나고...공감도 안되고... 불쌍하지도 않고 ... 지 죽을자리 죽어라 찾아다니는.. 여자를 멍청하게 그린 이런드라마 화나네요여기나온 여자캐릭터들 다 이상하네요 비정상 ....여성폄하드라마 인듯?,0
"과도한 폭력과 고함, 그리고 짜증나는 이야기 전개로 인해 공감이 전혀 되지 않습니다. 이 드라마의 주인공 여성들은 너무 미숙하게 그려졌고, 마치 자신에게 맞는 죽음을 찾아 헤매는 모습이 안타깝지도 않네요. 등장하는 여성 캐릭터들이 모두 비정상적으로 느껴져서 화가 납니다. 여성 비하적인 요소가 느껴지는 드라마인 것 같습니다.",1
좋하하는 만화였기에 기대하고 봤는데... 원작이 좋습니다.,0
원작 만화를 좋아했기 때문에 기대감을 가지고 영화관에 갔습니다... 하지만 원작이 훌륭하네요.,1
내 살다살다 이런 쌈마이는 첨본다..앵글이며 연기며 스토리며 연출이며...진짜 최악의 작품..근데 평점이 왜 이런지..알바가 있기는 있는모양..,0
"내 인생에서 이런 형편없는 영화는 처음 본다.. 카메라 각도, 배우의 연기, 이야기 전개, 감독의 의도 등 모든 것이 최악이다.. 그런데 왜 이런 평점이 나오는지 이해가 안 간다.. 알바생들이 여기에 개입한 것 같기도 하다..",1
오아시스를 기억하는 저로서는 아무리 코미디장르라고 해도 배우들에게 실망이 너무 크네요. 그렇다고 재미가 있는것도 아니고 줄거리나 액션도 특출날 것도 없고. 킬링타임용 엥화로서도 실패에 가까운 영화.,0
오아시스를 추억하는 입장에서 코미디 장르라고 해도 배우들에게 받았던 실망감이 너무 큽니다. 재미있는 요소는 없고 줄거리와 액션 역시 인상적이지 않아요. 시간 때우기용으로도 만족스럽지 않은 영화입니다.,1
저예산 영화답게(?) 배우들의 연기가 동태마냥 뻣뻣했음.아마도 현장이 매우 추웠던 모양임..,0
저예산 영화인 만큼 배우들의 연기가 마치 로봇 같았어요. 아마도 현장이 꽤 추웠던 것 같아요..,1
장난하냐... 그리고 저게 어딜봐서 레알인감... 그냥 일타이피 아님? 보그 촬영 메이킹 필름도 저거보단 재미있었음 ... 배우들 셀프디스 한검 좀 피식했다만...,0
이게 뭐야... 그리고 저게 정말 레알이라고 생각할 수 있는건가... 그냥 일타이피 같은 느낌이야? 보그 촬영 메이킹 필름이 저거보다도 훨씬 재미있었어... 배우들이 자기 자신을 농담으로 언급한 부분은 조금 웃겼지만...,1
제작비가 아까운 영화;;;왕가슴은 담배는 왜피는거냐? 불필요한 설정과 장면;;;ㅉㅉㅉㅉㅉ저거 보고 배우란거냐 뭐냐?;;이러니 망하지.;;,0
예산이 아깝다고 느껴지는 영화이다;;; 왕가슴이 담배를 피우는 이유는 뭔지? 불필요한 설정과 장면들이 많다;;;ㅉㅉㅉㅉㅉ 저걸 보고 배우라고 하는 건가? 이런 식으로 진행되니 흥행이 안 되는 거다.;;,1
흑백세상이 더 좋다 그전에도 충분히 행복했는걸 필요없는 감정이 범람할수록 세상은 난잡해져간다,0
"흑백의 세상이 더 아름답다. 이전에도 나는 충분한 행복을 느꼈기에, 불필요한 감정들이 넘쳐날수록 세상은 더욱 어지러워진다.",1
정말 예쁜 영화. 마음이 깨끗해지는 느낌. 정말 순정영화라는 생각이 들어요. 아름답다..,0
매우 아름다운 영화입니다. 마음이 맑아지는 기분을 주네요. 진정한 순정영화를 느끼게 합니다. 정말 아름답습니다..,1
1점도 아까움 뭐지 이 쓰레기 커플은.. 제일 이해안가는건 남자를 용서했다는 거. 보살이야 뭐야,0
"최악의 영화, 1점도 아까워요. 이 커플은 도대체 뭐죠? 가장 이해할 수 없는 건 남자를 용서한 거예요. 정말 불가사의한 인내심입니다.",1
견미리 목소리며 왜저러냐 지가 귀여운줄아나..역겹다.조안 까고싶다,0
"견미리의 목소리와 행동이 너무 과하게 느껴진다. 자신이 귀엽다고 생각하는 것 같은데, 정말 불쾌하다. 조안에 대해서도 불만이 있다.",1
서인국과 이성재의 호흡이 앞으로 더 기대됨. 1회랑 2회 진짜 잼났음,0
서인국과 이성재의 조화가 앞으로도 더욱 기대된다. 1회와 2회는 정말 재미있었다.,1
여러분~~~~~~ 이 영화 3점 밑으로 내립시다~~~~~~~~~~~~!!!!!!!!!!!!! ㅋㅋㅋㅋㅋㅋㅋ,0
여러분~~~~~~ 이 영화는 3점 이하로 평가합시다~~~~~~~~~~~~!!!!!!!!!!!!! ㅋㅋㅋㅋㅋㅋㅋ,1
"""정말모르겠다. x도없으면서 조낸 고고한척. 영화결론 """"한국여자 초낸 된장녀"""" ㅡ.ㅡ;""",0
"솔직히 잘 모르겠다. 아무런 내용을 전달하지 않으면서 무척이나 자존심을 내세우는 듯하다. 영화의 결말은 ""한국 여성은 그저 소비에만 관심 있는 여자""라는 인상이다. ㅡ.ㅡ;",1
"드라마 쓰는 년이 싸이콘지, 이걸 보는 년이 싸이콘지 헷갈린다!",0
"드라마를 쓰는 사람이 싸이콘인지, 이 드라마를 보는 사람이 싸이콘인지 구분하기가 어렵다!",1
지금은 1점도 아깝다. 재미도 없는 인기빨로 가는 코너들 보는내내 무표정으로 보게된다.,0
현재로서는 1점조차 아까워 보인다. 재미가 전혀 없는 인기만을 의식한 장면들 때문에 나는 내내 무표정으로 지켜보았다.,1
어렸을 때 영화관에서 봤는데 너무 슬펐고 할머니 한테 잘해야 겠다고 생각했습니다.,0
"어릴 적에 영화관에서 이 영화를 관람했는데, 정말 슬펐고 할머니께 더욱 잘해야겠다는 다짐을 했습니다.",1
네 다음 게임 티저 영상. 할리우드는 가끔 창의적으로 돈낭비하는 걸 즐기나보다,0
네 다음 게임 티저 영상이 공개되었습니다. 할리우드는 가끔씩 창의력을 발휘하며 돈을 낭비하는 것을 좋아하는 것 같네요.,1
나..아줌만데...비슷한 그시절..남자들 이야기는 좀 공감안되긴하지만..마지막 정우눈물...폭풍감동...계속같이울었다...,0
"저는 아줌마인데, 그 시절의 남자들 이야기는 조금 공감하기 힘들더라도, 마지막에 정우의 눈물은 정말 감동적이었어요. 눈물을 계속 흘리며 봤어요.",1
귀여운 아기 바다거북의 모험을 기대 하셨다면 보지 마세요...,0
아기 바다거북의 귀여운 모험을 기대하고 계셨다면 이 영화를 추천하지 않습니다...,1
원본필름은 유실되고 미국으로 수출된 더빙판원본만이 남아있다고 합니다 우리말버전은 48분짜리가 남아있음.,0
"현재 원본 필름은 사라진 상태이며, 오직 미국으로 수출된 더빙판 원본만이 남아있다고 전해집니다. 한편, 우리말 버전은 48분 분량만 남아있습니다.",1
실화 자체가 주는 고발의 메세지는 강하지만 영화의 연출은 그닥 특별하지 않다.,0
"실제 사건이 전달하는 비판적인 메시지는 매우 강렬하지만, 영화의 연출은 그리 특별하지 않다.",1
아이가 너무너무 사랑하는 호비~~ 매년마다 기대하고 있는데 기대를 져버리지 않았어요~ 영화보면서 같이 소리지르고 노래하고 정말 만족하고 왔습니다^^ 강추~,0
"아이에게 정말 사랑받는 호비! 매 년마다 기다리는 재미가 있지만, 이번에도 그 기대를 완전히 충족시켜 주었어요. 영화를 보며 함께 소리 지르고 노래를 부르면서 정말 기뻤습니다^^ 강력 추천합니다!",1
"원숭이도 나무에서 떨어진다.감독님 울지마 OO...세익스피어 인 러브의 감독의 영화라기엔,너무 떨어지는 졸작.극장에서 대참패도 당연,홈 비디오용으로나 딱인 영화.이러다 감독 밥줄 끊기지나 않을까,걱정해줬더니만,보란듯이,죽을 쑤더라.한동안...",0
"원숭이도 나무에서 미끄러질 수 있다는 말이 있죠. 감독님, 슬퍼하지 마세요 OO... '세익스피어 인 러브'를 만든 감독의 작품이라 하기에는 너무 실망스러운 졸작이에요. 극장에서 대차게 실패한 것도 당연하고, 집에서 볼 만한 수준의 영화에 불과합니다. 감독의 경력에 악영향이 가지 않을까 걱정했지만, 보란 듯이 처참하네요. 한동안...",1
"영화는 그럭저럭 웃긴데, 배우들이 왜케 못생겼냐. 기성배우들은 연기력좋고 괜찮은데 주인공 여자두명 참 별로네 글케 배우들이 없나???",0
"영화는 어느 정도 웃음을 주지만, 배우들의 외모가 마음에 들지 않네요. 기존의 배우들은 연기력이 뛰어나고 괜찮은 편인데 주인공이 되는 두 여성은 정말 별로인 것 같아요. 배우들이 더 없었는지 궁금하네요.",1
군대에서 본 최악의 영화 베스트에 꼽히는 영화 중 하나.,0
군대에서 관람한 최악의 영화 중 하나로 손꼽힙니다.,1
여성부가 만약에 이 영화 보면 뭐라고 씨.부려댈지 궁금하네 ㅋㅋ,0
"여성부가 이 영화를 본다면 어떻게 반응할지 매우 궁금하네요, ㅋㅋ",1
"태극기 휘날리며만큼 감동적이며, 화려한 휴가처럼 슬픈영화.군인들 모두 파이팅입니다!",0
"태극기 휘날리며만큼이나 감정적으로 울림이 크고, 화려한 휴가와 같은 슬픈 이야기입니다. 모든 군인들 응원합니다!",1
정말 좋은 영화구만 재미로만 영화보는 사람들에겐 재미없겟고,0
정말 훌륭한 영화입니다. 오로지 재미를 추구하는 관객들에게는 충분히 흥미롭지 않을 수도 있겠네요.,1
20분의 내용을 말하기 위해 쓸데없는 한시간 반을 소비한다,0
20분 분량의 이야기를 전달하기 위해 불필요하게 한 시간 반을 소모한다.,1
아크플롯과 미니플롯과 안티플롯이 조화를 이룬 충격적인 작품!,0
"아크플롯, 미니플롯, 안티플롯이 완벽하게 어우러진 놀라운 작품!",1
"12세는무슨 ,, 15세인데이건 ㅋㅋ.. 그리고 너무뻔한스토리~",0
"12세라니, 이건 15세 관람 등급이 맞는 것 같아ㅋㅋ.. 스토리가 너무 예측 가능해~",1
다운 받는데...재목만 보고 애로 영화인줄 알았네 ^^ 안 볼만함,0
다운로드 할 때 제목만 보고 에로 영화인 줄 착각했어요 ^^ 볼 가치가 없네요.,1
"마법 같은 설정이었으나, 마법을 보여주는 능력은 턱없이 부족했다.",0
"매우 환상적인 설정이었지만, 그 마법을 실현하는 능력은 크게 아쉬웠다.",1
도수코 진짜 맨날 챙겨보는 매니아예요 진짜너무잘보고잇어요 재밋써요!,0
도수코는 제가 정말 매일 챙겨보는 애청자예요. 너무 재미있게 보고 있어요!,1
개봉전에는 완전 기대했었는데 이건 뭐..의드가 매회 끝날때마다 긴장감도 전혀 없고 연기도 좀..작가님!!!!골든타임2 제작해 주시면 안되요??ㅜㅜ,0
"이 영화가 개봉하기 전 정말 기쁜 마음으로 기다렸는데, 결과는 기대 이하였어요. 각 에피소드가 끝날 때마다 긴장감이 전혀 느껴지지 않고, 연기도 아쉬웠어요. 작가님, 골든타임2를 제작해 주실 수는 없나요??ㅜㅜ",1
"실제로 사람은 자연에서 나왔고, 자연의 한 부분이고, 그 자체가 자연이고 우주 만물의 모든것이다. 결국 사람사는 모습도 수학이나 물리법칙 처럼 당연히 존재하고 적용되고 흘러가는것이다. 설사 그것이 인간의 질투, 분노, 탐욕일지라도.",0
"인간은 본래 자연에서 비롯되었고, 자연의 일부분이며, 최종적으로는 자연과 우주 만물의 본질을 이룬다. 따라서 인간의 삶도 수학이나 물리학의 법칙처럼 당연히 존재하며, 이 법칙들이 자연스럽게 작용하고 영향을 미친다. 비록 그 과정이 인간의 질투, 분노, 그리고 탐욕과 같은 감정을 수반하더라도.",1
